162,"Dominic Crapuchettes, Dmitry Knorre, Sergey Machin"
163,Paolo Mori
164,"Richard Launius, Kevin Wilson"
165,"Alex Davy, James Kniffen, Corey Konieczka, Jason Little, Brady Sadler, Adam Sadler"
166,"Sérgio Halaban, André Zatz"
167,"Nuno Bizarro Sentieiro, Paulo Soledade"
168,François Gandon
169,Etienne Espreman
170,"Wolfgang Panning, Marco Ruskowski, Marcel Süßelbeck"
171,Matthias Cramer
172,"Beau Beckett, Jeph Stahl"
173,Richard Sivél
174,Kevin Lanzing
175,"Reiner Knizia, Eric M. Lang, Christian T. Petersen"
176,Stefan Dorra
177,"Peter Lee, Rodney Thompson, Andrew Veen"
178,"Ted Alspach, Akihisa Okui"
179,"Andrea Chiarvesio, Luca Iennaco"
180,"Stephen Baker, Rob Daviau, Craig Van Ness"
181,"Christopher Badell, Paul Bender, Adam Rebottaro"
182,"Aaron Dill, John Kovaleski, Sean Sweigart"
183,Christophe Boelinger
184,Jason C. Hill
185,Carl Chudyk
186,"Brett Sobol, Seth Van Orden"
187,Klaus Teuber
188,"Acchittocca, Flaminia Brasini, Virginio Gigli, Stefano Luperto, Antonio Tinto"
189,"Forrest-Pruzan Creative, Kami Mandell, Andrew Wolf"
190,"Corey Konieczka, Lukas Litzsinger"
191,Keith Matejka
192,"Mike Selinker, Chad Brown, Tanis O'Connor, Paul Peterson, Gaby Weidling"
193,Michael Menzel
194,"Fabien Riffaud, Juan Rodriguez"
195,Steve Finn
196,"Michael Adams, Peter Sarrett"
197,Volko Ruhnke
198,Christophe Raimbault
199,"Jonathan Gilmour, Brian Lewis"
200,Asger Harding Granerud
201,"Matt Leacock, Chuck D. Yager"
202,Sébastien Dujardin
203,"Tom Dalgliesh, Jerry Taylor"
204,Kota Nakayama (中山 宏太)
205,Brian Mayer
206,"Nate French, Eric M. Lang"
207,"Christian T. Petersen, Kevin Wilson"
208,"Anthony J. Gallela, Eric Goldberg, Kevin Maroney, Zev Shlasinger"
209,"Daniel Clark (I), Tim Flanders, Annie VanderMeer Mitsoda, Greg Spyridis, Nikki Valens"
210,Jean du Poël
211,"Matthew Dunstan, Brett J. Gilbert"
212,Bruno Faidutti
213,"Bruno Cathala, Serge Laget"
214,Xavier Georges
215,"Edward Bolme, Mike Elliott, Mark Wootton"
216,Hjalmar Hach
217,"Bruno Cathala, Charles Chevallier"
218,"Adam Carlson, Josh J. Carlson"
219,"Frédéric Henry, Antoine Bauza, Pascal Bernard, Bruno Cathala, Croc, Ludovic Maublanc, Laurent Pouchain"
220,Vladimír Suchý
221,Tim Puls
222,Kasper Lapp
223,Peter Hawes
224,"Charlie Catino, Steven Kimball"
225,Helmut Ohley
226,"Corey Konieczka, Christian T. Petersen"
227,"Suzanne Goldberg, Gary Grady, Jérôme Ropert"
228,Tony Boydell
229,"Andreas Seyfarth, Karen Seyfarth"
230,"Richard Berthold, Don Greenwood, Robert Haines"
231,"Wolfgang Kramer, Markus Lübke"
232,"James Ernest, Mike Selinker"
233,Benoit Vogt
234,Dan Cassar
235,"Justin Kemppainen, Brady Sadler, Adam Sadler"
236,Paul Peterson
237,"Jay Cormier, Sen-Foong Lim"
238,Harry Wu
239,"Grant Rodiek, Michał Oracz, Michał Walczak"
240,Karsten Hartwig
241,Mike Fitzgerald
242,Richard Launius
243,Eric Zimmerman
244,"Phil Eklund, Matt Eklund, Jim Gutt"
245,Rikki Tahta
246,Peter Prinz
247,Steffen Bogen
248,Courtney F. Allen
249,John D. Clair
250,Isaac Vega
251,Peter Sarrett
252,Bowen Simmons
253,Bruce Allen
254,Thorsten Gimmler
255,Uwe Eickert
256,Alexandr Ushan
257,"Jeremy Holcomb, Stephen McLaughlin"
258,Serge Laget
259,"Marco Canetta, Stefania Niccolini"
260,"Malcolm Braff, Bruno Cathala, Sébastien Pauchon"
261,"Stephen Hand, Kevin Wilson"
262,Yoann Levet
263,"Mike Elliott, Bryan Kinsella, Ethan Pasternack"
264,"Stefano Castelli, Andrea Crespi, Lorenzo Silva"
265,Craig Besinque
266,Ken Dunn
267,Marcel-André Casasola Merkle
268,Henry Stern
269,Lukas Litzsinger
270,"Jason Matthews, Ted Torgerson"
271,Orin Bishop
272,"Mark Herman, Volko Ruhnke"
273,Kristian Amundsen Østby
274,"Rob Daviau, Bruce Glassco, Bill McQuillan, Mike Selinker, Teeuwynn Woodruff"
275,Seth Jaffee
276,"Laurent Lavaur, Eric Randall"
277,Vangelis Bagiartakis
278,Hervé Rigal
279,"Mike Elliott, Eric M. Lang"
280,Mark Herman
281,"Corey Konieczka, Christian T. Petersen, Tim Uren"
282,Hervé Marly
283,Jim Krohn
284,"John Foley, Chad Jensen, Kai Jensen"
285,Trey Chambers
286,"Thomas Vande Ginste, Wolf Plancke"
287,Adam Kałuża
288,Ben Rosset
289,Shadi Torbey
290,"Michael Palm, Lukas Zach"
291,"Alex Hague, Justin Vickers"
292,"Michael Kiesling, Andreas Schmidt"
293,Mikkel Bertelsen
294,Peter Lee
295,"Gil d'Orey, Nuno Bizarro Sentieiro, Paulo Soledade"
296,"Patrick Leder, David Somerville"
297,"Matthew O'Malley, Morten Monrad Pedersen, Ben Rosset"
298,John H. Butterfield
299,"Bernd Brunnhofer, Karl-Heinz Schmiel"
300,John Hill (I)
301,Michael Schacht
302,"Jeff Grossman, Volko Ruhnke"
303,"Gavan Brown, Matt Tolman"
304,Richard Breese
305,"Stephen Baker, Rob Daviau, Chris Nelson, Craig Van Ness"
306,Harold Vanderbilt
307,Alex Rockwell
308,"John Fiorillo, Justin Gary"
309,"Asger Harding Granerud, Daniel Skjold Pedersen"
310,"Reiner Knizia, Klaus-Jürgen Wrede"
311,Allan B. Calhamer
312,Dominic Crapuchettes
313,Ludovic Maublanc
314,"Simone Romano, Nunzio Surace"
315,BakaFire
316,Chris Cieslik
317,Fran Diaz
318,"Alan R. Moon, Aaron Weissblum"
319,Ed Marriott
320,Andrew Parks
321,"Andrea Chiarvesio, Pierluca Zizzi"
322,Bernard Tavitian
323,"Gaëtan Beaujannot, Jean Yves Monpertuis"
324,"Claudia Hely, Roman Pelek"
325,"Peter Lee, Bill Slavicsek"
326,"Robert Dougherty, John Fiorillo, Justin Gary, Brian M. Kibler"
327,"Richard Sivél, Peer Sylvester"
328,Greg Daigle
329,Mike Elliott
330,Michiel Justin Elliott Hendriks
331,Kane Klenko
332,"Wolfgang Sentker, Ralf zur Linde"
333,"Jeff Horger, Carla Horger"
334,"Carl Chudyk, Chris Cieslik"
335,Lewis Pulsipher
336,"Mike Elliott, Brent Keith"
337,Stephen Baker
338,"Bruno Cathala, Marc Paquien"
339,Filip Neduk
340,"Jun Sasaki, Goro Sasaki"
341,Gil Hova
342,"Rob Daviau, Alan Roach, Craig Van Ness"
343,Sir John Suckling
344,Ghislain Masson
345,Isaias Vallejo
346,"(Uncredited), Richard Borg"
347,Gerd Fenchel
348,"Eilif Svensson, Kristian Amundsen Østby"
349,"Gaëtan Beaujannot, Alain Rivollet"
350,Christopher Chung
351,Wolfgang Kramer
352,Alex Randolph
353,Doug Eckhart
354,"Franz-Benno Delonge, Thomas Ewert"
355,Brent Povis
356,"John Goodenough, Corey Konieczka, Christian T. Petersen"
357,"Richard Hamblen, Robert A. Kouba"
358,Aaron Weissblum
359,Robert A. Kouba
360,David Sanders
361,"Carey Grayson, Randy Nash, Rick Soued"
362,"Tom Jolly, Kevin Wilson"
363,"Brad Andres, Nate French, Eric M. Lang"
364,"Bill Eberle, John Goodenough, Jack Kittredge, Corey Konieczka, Peter Olotka, Christian T. Petersen"
365,"Gary Dicken, Steve Kendall, Phil Kendall"
366,"Scott Frisco, Steven Strumpf"
367,"Gordon Lamont, Fraser Lamont"
368,Stefan Risthaus
369,Joshua Buergel
370,"Phil Eklund, Matt Eklund"
371,"Uwe Eickert, John Hill (I), Dana Lombardy"
372,none
373,"Rob Heinsoo, Peter Lee, Mike Mearls, Bill Slavicsek"
374,David Short
375,Chris Taylor (I)
376,"Bruno Faidutti, Alan R. Moon"
377,"Mike Elliott, Rob Heinsoo, Jim Lin, Gregory Marques, Sean McCarthy, Jay Schneider, Rob Watkins"
378,Franz-Benno Delonge
379,"Rob Daviau, Justin D. Jacobson, Wolfgang Kramer"
380,Tom Cleaver
381,"Antoine Bauza, Ludovic Maublanc"
382,"Dan Schnake, Adam West"
383,Sebastian Bleasdale
384,Joseph Fatula
385,Will Schoonover
386,Jeff Horger
387,Maxime Rambourg
388,Grégory Oliver
389,Alain Epron
390,"Laurent Escoffier, David Franck"
391,J. Alex Kevern
392,"Adrian Abela, David Chircop"
393,"Andy Jones, Gavin Thorpe"
394,Joel Finch
395,Susan McKinley Ross
396,Carl Paradis
397,"Chad Brown, Tanis O'Connor, Paul Peterson, Mike Selinker, Gaby Weidling"
398,Justin Blaske
399,Gary Kim
400,"Cédric Lefebvre, Fabrice Rabellino"
401,Dominique Bodin
402,"James D'Aloisio, Austin Rucker, Craig Van Ness"
403,Heinz-Georg Thiemann
404,"Volko Ruhnke, Brian Train"
405,Ken Fisher
406,Steffen Benndorf
407,"Günter Cornett, Alvydas Jakeliunas"
408,"Aureliano Buonfino, Lorenzo Silva, Lorenzo Tucci Sorrentino"
409,Bernd Eisenstein
410,"Doris Matthäus, Frank Nestel"
411,Andreas Pelikan
412,"Ryan Amos, Marc Kelsey, Aron West"
413,"John H. Butterfield, Eric Lee Smith"
414,Sean Ross (I)
415,"Masaru Aoki, Carol Wiseley"
416,Naoki Homma
417,Michael Gray
418,"Darrell Hardy, Martin Wallace"
419,"Matt Hyra, Ben Stoll"
420,Nicolas Robert
421,Ian Brody
422,"Ben Pinchback, Matt Riddle"
423,"Kory Heath, Andrew Looney"
424,"Steve Ellis (II), Hisashi Hayashi"
425,Dan Verssen
426,Richard Hamblen
427,Hope S. Hwang
428,Yuri Zhuravljov
429,Connor Reid
430,"Nate French, Eric M. Lang, Christian T. Petersen"
431,Rustan Håkansson
432,Yves Tourigny
433,Yann and Clem
434,Yasutaka Ikeda
435,Luigi Ferrini
436,Jean-Christophe Bouvier
437,"Grant Dalgliesh, Justin Thompson"
438,Klaus Miltenberger
439,Chénier La Salle
440,Adam P. McIver
441,Kalle Malmioja
442,"Philippe des Pallières, Hervé Marly"
443,Masao Suganuma
444,"Larry Harris, Jr."
445,Evan Derrick
446,"Brad Andres, Erik Dahlman, Nate French"
447,Satoshi Nakamura
448,Philip duBarry
449,"Alan Gerding, Sean McCoy"
450,"Kenneth Minde, Kristian Amundsen Østby"
451,Walter Schneider
452,Michael Rieneck
453,Philippe Mouchebeuf
454,"Steve Kendall, Phil Kendall"
455,Tom McMurchie
456,Ian Cooper (I)
457,Brian Gomez
458,"Stephen Avery, Tom Vasel"
459,"Henrik Berg, Åse Berg"
460,Nicolas Poncin
461,David Sirlin
462,Klemens Kalicki
463,Julien Vergonjeanne
464,"Volko Ruhnke, Andrew Ruhnke"
465,"Vlaada Chvátil, Andrew Parks"
466,A. J. Porfirio
467,Peter Wichmann
468,"James Ernest, Patrick Rothfuss"
469,"Jonathan Gilmour, Ben Pinchback, Matt Riddle"
470,"Dominique Ehrhard, Duccio Vitale"
471,Mario Papini
472,Sami Laakso
473,"Yeon-Min Jung, Jun-Hyup Kim"
474,"Andrea Angiolino, Pier Giorgio Paglia"
475,Nicolas Oury
476,Phil Eklund
477,Masato Uesugi
478,"Jason B. McAllister, David A. Trampier"
